#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;一场选举正在$TITLE$举行。\n;;;;;;;;;;x
ANTI_POPE_CESSATION_LOG;§Y$ANTIPOPE$§!已经不再是对立教宗。;;;;;;;;;;x
TRIGGER_BEST_CRUSADE_CLAIMANT;最佳宣称者;;;;;;;;;;x
CRUSADE_DESC_DRO_3;既然§Y$TITLE$§!的王冠有许多优秀的$RELIGION$宣称者，那么获得的所有领土都会给最有力的候选人——现在是§Y$RULER$§!。对圣战做出贡献的宣称者被优先考虑。;;;;;;;;;;x
restore_pope_in_rome;使罗马教宗复位;;;;;;;;;;x
restore_pope_in_rome_desc;教宗失去了对世俗领地的控制，不过为他夺回永恒之城却是我的分内之事。;;;;;;;;;;x
opinion_restored_to_rome;夺回罗马;;;;;;;;;;x
opinion_creator_of_rel_heal;建立我的宗教法庭;;;;;;;;;;x
EVTDESC_SOA_2609;此骑士团的名称源自圣地亚哥·马塔莫雷斯或他在世界其他地方的称呼——「摩尔人的屠夫」圣雅各。圣地亚哥骑士团受[Root.Religion.GetName]教会的官方资助，而且，如果[Root.Religion.GetName]统治者要求骑士团中的骑士发誓清洗王国中的所有异教徒和异端，他们则会乐于效命。;;;;;;;;;;x
EVTDESC_SOA_2709;卡勒多拉巴骑士团是最新加入十字军的成员。刚刚由[Root.Religion.GetName]教会发布的诏书批准成立。这一骑士团的名称源于一座从穆斯林异教徒手中收复的伊比利亚城堡。如果有哪个[Root.Religion.GetName]负担他们部队的维护费，他们就会以其名义与异教徒和异端作战以及保卫虔诚的信徒。;;;;;;;;;;x
EVTDESC39100;确认建立新的僧侣骑士团——医院骑士团——的教令已经下达。他们保护和照料生病的耶路撒冷朝圣者也有一段时间了。现在他们则有[Root.Religion.GetName]在背后的鼎力支持。虔诚的[Root.Religion.GetName]统治者在与异教徒和异端们交战时可以寻求他们的帮助，不过他们不会与那些和自己信仰相同的人交战。;;;;;;;;;;x
EVTDESC39101;一小群富有的骑士建立了一个新的天主教军团。基督和所罗门圣殿的贫苦骑士团（简称为圣殿骑士团）已宣誓保护前往圣地的朝圣者。 [Root.Religion.GetName]完全支持这一骑士团。尽管团里的骑士们只与异教徒和异端作战，但还是可以向[Root.Religion.GetName]统治者寻求帮助。;;;;;;;;;;x
