#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GAME_RULE_DEMESNE_SIZE_UNLIMITED_TOOLTIP;No Demesne limit;;;;;;;;;;;;;x
GAME_RULE_DEMESNE_SIZE_TOOLTIP;Game Rule $RULE|Y$: $VAL|+=$;;;;;;;;;;;;;x
GAME_RULE_VASSAL_LIMIT_UNLIMITED_TOOLTIP;No Vassal limit;;;;;;;;;;;;;x
GAME_RULE_VASSAL_LIMIT_TOOLTIP;Game Rule $RULE|Y$: $VAL|+=$;;;;;;;;;;;;;x
ACTOR;Actor;;;;;;;;;;;;;x
ACTRESS;Actress;;;;;;;;;;;;;x
VICE_GREEDY;Greedy;;;;;;;;;;;;;x
VICE_PROUD;Proud;;;;;;;;;;;;;x
VICE_LUSTFUL;Lustful;;;;;;;;;;;;;x
VICE_SLOTHFUL;Slothful;;;;;;;;;;;;;x
